Timestamp (UTC),Relay State,T2 (F),T1 (F)
2026-08-09T04:15:00Z,1,103.32488,113.61488
2026-08-09T04:30:00Z,1,103.54256,113.99732
2026-08-09T04:45:00Z,1,104.0723857,114.9607143
2026-08-09T05:00:00Z,1,104.11952,114.78512
2026-08-09T05:15:00Z,1,103.60256,113.285
2026-08-09T05:30:00Z,1,102.6419,112.3730857
2026-08-09T05:45:00Z,1,102.72488,113.54756
2026-08-09T06:00:00Z,1,103.1978,113.87804
2026-08-09T06:15:00Z,1,103.7751286,114.3260857
2026-08-09T06:30:00Z,1,104.26232,114.70256
2026-08-09T06:45:00Z,1,105.68744,116.29244
2026-08-09T07:00:00Z,1,106.0574,115.6676
2026-08-09T07:15:00Z,1,105.75524,114.83
2026-08-09T07:30:00Z,1,104.96,114.17
2026-08-09T07:45:00Z,1,104.2090571,114.6714286
2026-08-09T08:00:00Z,1,103.87304,115.40708
2026-08-09T08:15:00Z,1,103.93244,113.75744
2026-08-09T08:30:00Z,1,103.3732143,113.2973857
2026-08-09T08:45:00Z,1,103.52768,114.71744
2026-08-09T09:00:00Z,1,104.65256,116.09012
2026-08-09T09:15:00Z,1,106.4027429,117.5642857
2026-08-09T09:30:00Z,1,107.44256,118.45256
2026-08-09T09:45:00Z,1,107.60024,119.04476
2026-08-09T10:00:00Z,1,108.2426,119.4368
2026-08-09T10:15:00Z,1,108.18524,119.53988
2026-08-09T10:30:00Z,1,108.82208,119.96048
2026-08-09T10:45:00Z,1,108.9660714,120.3049143
2026-08-09T11:00:00Z,1,107.53244,119.45744
2026-08-09T11:15:00Z,1,107.02976,119.0228
2026-08-09T11:30:00Z,1,107.1100143,118.9382
2026-08-09T11:45:00Z,1,107.48732,118.69244
2026-08-09T12:00:00Z,1,108.29012,119.45732
2026-08-09T12:15:00Z,1,108.3311857,119.8625
2026-08-09T12:30:00Z,1,108.89756,120.13964
2026-08-09T12:45:00Z,1,109.19012,120.2528
2026-08-09T13:00:00Z,1,108.9259571,120.0152429
2026-08-09T13:15:00Z,1,108.71768,119.42792
2026-08-09T13:30:00Z,1,109.37768,120.27512
2026-08-09T13:45:00Z,1,109.3278714,120.4248714
2026-08-09T14:00:00Z,1,109.36244,120.77768
2026-08-09T14:15:00Z,1,109.10012,120.33464
2026-08-09T14:30:00Z,1,109.5368,120.1921571
2026-08-09T14:45:00Z,1,109.9172,120.68
2026-08-09T15:00:00Z,1,110.21012,120.26768
2026-08-09T15:15:00Z,1,109.4162,120.0632
2026-08-09T15:30:00Z,1,108.74,119.64488
2026-08-09T15:45:00Z,1,108.45524,119.41232
2026-08-09T16:00:00Z,1,108.9098857,119.0987857
2026-08-09T16:15:00Z,1,109.26476,119.26988
2026-08-09T16:30:00Z,1,108.85256,119.07512
2026-08-09T16:45:00Z,1,109.0063143,118.9788286
2026-08-09T17:00:00Z,1,108.97268,119.14268
2026-08-09T17:15:00Z,1,107.68976,117.19256
2026-08-09T17:30:00Z,1,106.8123714,116.8976429
2026-08-09T17:45:00Z,1,107.33,116.64524
2026-08-09T18:00:00Z,1,106.7972,116.76464
2026-08-09T18:15:00Z,1,106.33952,115.27256
2026-08-09T18:30:00Z,1,105.6714286,114.1167714
2026-08-09T18:45:00Z,1,105.74012,115.47512
2026-08-09T19:00:00Z,1,106.47512,116.44244
2026-08-09T19:15:00Z,1,106.4669,116.2304857
2026-08-09T19:30:00Z,1,106.3544,116.02268
2026-08-09T19:45:00Z,1,106.085,112.49732
2026-08-09T20:00:00Z,1,104.8681143,112.7269143
2026-08-09T20:15:00Z,1,105.41732,113.53232
2026-08-09T20:30:00Z,1,106.21244,115.02512
2026-08-09T20:45:00Z,1,107.7686857,116.4633286
2026-08-09T21:00:00Z,1,109.35524,117.98744
2026-08-09T21:15:00Z,1,109.96232,118.62476
2026-08-09T21:30:00Z,1,110.3965571,119.1074
2026-08-09T21:45:00Z,1,110.91476,119.38976
2026-08-09T22:00:00Z,1,111.22244,119.65328
2026-08-09T22:15:00Z,1,110.6936857,119.6373714
2026-08-09T22:30:00Z,1,110.61524,118.19024
2026-08-09T22:45:00Z,1,108.38,111.05744
2026-08-09T23:00:00Z,1,103.6463,104.9483429
2026-08-09T23:15:00Z,1,100.46,100.84256
2026-08-09T23:30:00Z,1,98.93,104.73512
2026-08-09T23:45:00Z,1,101.7982143,109.8983429
2026-08-10T00:00:00Z,1,103.7978,110.98976
2026-08-10T00:15:00Z,1,104.24,112.06232
2026-08-10T00:30:00Z,1,105.1649857,113.7310571
2026-08-10T00:45:00Z,1,105.94256,114.64256
2026-08-10T01:00:00Z,1,106.5728,115.46024
2026-08-10T01:15:00Z,1,106.4190714,115.0251286
2026-08-10T01:30:00Z,1,105.65744,114.575
2026-08-10T01:45:00Z,1,105.69512,114.95708
2026-08-10T02:00:00Z,1,105.6641,115.1938143
2026-08-10T02:15:00Z,1,106.21988,115.51988
2026-08-10T02:30:00Z,1,106.13768,115.51988
2026-08-10T02:45:00Z,1,106.3700857,115.8047857
2026-08-10T03:00:00Z,1,105.91268,113.7872
2026-08-10T03:15:00Z,1,104.3222,113.75756
2026-08-10T03:30:00Z,1,104.6102,113.9726429
2026-08-10T03:45:00Z,1,105.16244,114.92756
2026-08-10T04:00:00Z,1,106.22012,115.79756
2026-08-10T04:15:00Z,1,105.8081,114.3343143
2026-08-10T04:30:00Z,1,105.73232,115.31756
2026-08-10T04:45:00Z,1,106.1456,115.12256
2026-08-10T05:00:00Z,1,105.9280571,116.2056714
2026-08-10T05:15:00Z,1,106.13792,115.51976
2026-08-10T05:30:00Z,1,105.995,115.86536
2026-08-10T05:45:00Z,1,106.1695143,116.4313143
2026-08-10T06:00:00Z,1,106.445,117.05
2026-08-10T06:15:00Z,1,106.5722,117.41036
2026-08-10T06:30:00Z,1,106.2983429,117.2104571
2026-08-10T06:45:00Z,1,105.83024,116.84768
2026-08-10T07:00:00Z,1,105.58988,116.46488
2026-08-10T07:15:00Z,1,105.6476429,116.5200286
2026-08-10T07:30:00Z,1,105.89672,116.75708
2026-08-10T07:45:00Z,1,105.83012,116.7722
2026-08-10T08:00:00Z,1,106.41524,116.97488
2026-08-10T08:15:00Z,1,106.9815714,117.6446429
2026-08-10T08:30:00Z,1,107.23196,118.07732
2026-08-10T08:45:00Z,1,108.24524,118.67012
2026-08-10T09:00:00Z,1,108.9017857,119.2439429
2026-08-10T09:15:00Z,1,109.67012,119.87012
2026-08-10T09:30:00Z,1,110.11268,120.62
2026-08-10T09:45:00Z,1,110.2520429,121.1963
2026-08-10T10:00:00Z,1,110.33024,121.31744
2026-08-10T10:15:00Z,1,110.74244,121.57232
2026-08-10T10:30:00Z,1,110.6219429,121.4623143
2026-08-10T10:45:00Z,1,110.59268,121.60952
2026-08-10T11:00:00Z,1,110.6672,121.58732
2026-08-10T11:15:00Z,1,110.9912,121.8317
